,site_id,p
3,3020000,0.06985895908402548
4,3592000,0.17315970022903338
7,6670500,-0.03630657454242463
8,1184000,0.06000778842147206
10,3400800,0.11709909045485631
11,1342602,0.099333294697498
12,9419800,0.036392249714449765
14,3282060,0.031205441796606365
15,1091500,0.11447001822275786
16,3282290,0.08359633841818312
18,1315000,-0.029164143444167928
19,4108660,0.019471730130521437
20,3284500,0.12068377113408554
21,3284230,0.10514292864396352
25,3321500,0.13256985033417776
26,3287250,-0.003919135974725502
27,4235600,-0.007308783345685315
29,2469761,0.10413889340541006
31,10344500,0.14421976382975055
32,2243960,-0.05236255798667154
35,5018000,-0.23771499248482886
36,1123600,0.047370328576320835
40,2467000,0.21780584655253996
42,3287000,-0.006150197393982993
43,3282120,0.07451449359756451
44,1354500,0.052284790761434635
45,3090500,-0.059292185751885385
46,3150000,0.03307755928470244
48,5454500,-0.018550451023193623
52,14155500,0.09705093309130093
53,1328770,0.192481042414768
55,7263012,-0.006544084199531945
57,3086000,0.05290610486315069
58,8401500,-0.03929569224987939
59,8403500,0.01891248484677932
60,2105500,-0.02134060018572559
63,14170000,0.18342889401792084
64,14162200,0.0751407064687228
65,6017000,0.34345670274448664
66,2304500,-0.19666390775572892
67,9429000,0.013643385805860143
68,6875900,-0.04082957358670652
69,3049500,0.0763064206142818
70,1541200,0.14538352123408418
71,1166500,0.13895223344048707
73,4247000,0.07852319069086386
75,3249500,
76,1188090,0.06429458942328009
77,2105769,-0.014024880890150441
79,9426000,-0.07932088202906619
80,5463050,0.14935723505761628
83,3320000,0.01999566459393083
84,1347000,0.18438770180344338
85,3039000,0.006304593676697404
86,2341460,0.2284380884599622
88,5464730,0.08923872894007372
90,1153000,0.20408324836268799
103,3111500,0.12027813371400506
105,3056000,0.13769991961053885
106,5430500,0.14488394627083923
107,1113895,0.04425119655018728
108,5378500,-0.08463674168641863
